Date,Home Team,Score,Away Team,Venue
2024-08-16,Manchester Utd,1–0,Fulham,Old Trafford
2024-08-17,Ipswich Town,0–2,Liverpool,Portman Road Stadium
2024-08-17,Newcastle Utd,1–0,Southampton,St James' Park
2024-08-17,Nott'ham Forest,1–1,Bournemouth,The City Ground
2024-08-17,Everton,0–3,Brighton,Goodison Park
2024-08-17,Arsenal,2–0,Wolves,Emirates Stadium
2024-08-17,West Ham,1–2,Aston Villa,London Stadium
2024-08-18,Brentford,2–1,Crystal Palace,Gtech Community Stadium
2024-08-18,Chelsea,0–2,Manchester City,Stamford Bridge
2024-08-19,Leicester City,1–1,Tottenham,King Power Stadium
,,,,
2024-08-24,Brighton,2–1,Manchester Utd,The American Express Stadium
2024-08-24,Tottenham,4–0,Everton,Tottenham Hotspur Stadium
2024-08-24,Fulham,2–1,Leicester City,Craven Cottage
2024-08-24,Crystal Palace,0–2,West Ham,Selhurst Park
2024-08-24,Manchester City,4–1,Ipswich Town,Etihad Stadium
2024-08-24,Southampton,0–1,Nott'ham Forest,St Mary's Stadium
2024-08-24,Aston Villa,0–2,Arsenal,Villa Park
2024-08-25,Bournemouth,1–1,Newcastle Utd,Vitality Stadium
2024-08-25,Wolves,2–6,Chelsea,Molineux Stadium
2024-08-25,Liverpool,2–0,Brentford,Anfield
,,,,
2024-08-31,Arsenal,1–1,Brighton,Emirates Stadium
2024-08-31,Everton,2–3,Bournemouth,Goodison Park
2024-08-31,Leicester City,1–2,Aston Villa,King Power Stadium
2024-08-31,Nott'ham Forest,1–1,Wolves,The City Ground
2024-08-31,Ipswich Town,1–1,Fulham,Portman Road Stadium
2024-08-31,Brentford,3–1,Southampton,Gtech Community Stadium
2024-08-31,West Ham,1–3,Manchester City,London Stadium
2024-09-01,Newcastle Utd,2–1,Tottenham,St James' Park
2024-09-01,Chelsea,1–1,Crystal Palace,Stamford Bridge
2024-09-01,Manchester Utd,0–3,Liverpool,Old Trafford
,,,,
2024-09-14,Southampton,0–3,Manchester Utd,St Mary's Stadium
2024-09-14,Brighton,0–0,Ipswich Town,The American Express Stadium
2024-09-14,Crystal Palace,2–2,Leicester City,Selhurst Park
2024-09-14,Manchester City,2–1,Brentford,Etihad Stadium
2024-09-14,Liverpool,0–1,Nott'ham Forest,Anfield
2024-09-14,Fulham,1–1,West Ham,Craven Cottage
2024-09-14,Aston Villa,3–2,Everton,Villa Park
2024-09-14,Bournemouth,0–1,Chelsea,Vitality Stadium
2024-09-15,Tottenham,0–1,Arsenal,Tottenham Hotspur Stadium
2024-09-15,Wolves,1–2,Newcastle Utd,Molineux Stadium
,,,,
2024-09-21,West Ham,0–3,Chelsea,London Stadium
2024-09-21,Liverpool,3–0,Bournemouth,Anfield
2024-09-21,Leicester City,1–1,Everton,King Power Stadium
2024-09-21,Southampton,1–1,Ipswich Town,St Mary's Stadium
2024-09-21,Tottenham,3–1,Brentford,Tottenham Hotspur Stadium
2024-09-21,Fulham,3–1,Newcastle Utd,Craven Cottage
2024-09-21,Aston Villa,3–1,Wolves,Villa Park
2024-09-21,Crystal Palace,0–0,Manchester Utd,Selhurst Park
2024-09-22,Brighton,2–2,Nott'ham Forest,The American Express Stadium
2024-09-22,Manchester City,2–2,Arsenal,Etihad Stadium
,,,,
2024-09-28,Newcastle Utd,1–1,Manchester City,St James' Park
2024-09-28,Chelsea,4–2,Brighton,Stamford Bridge
2024-09-28,Arsenal,4–2,Leicester City,Emirates Stadium
2024-09-28,Brentford,1–1,West Ham,Gtech Community Stadium
2024-09-28,Everton,2–1,Crystal Palace,Goodison Park
2024-09-28,Nott'ham Forest,0–1,Fulham,The City Ground
2024-09-28,Wolves,1–2,Liverpool,Molineux Stadium
2024-09-29,Ipswich Town,2–2,Aston Villa,Portman Road Stadium
